name,city,district
Adana Büyükşehir Belediyesi Vergi Dairesi,Adana,Merkez
Adana Defterdarlığı,Adana,Merkez
Adana Gümrük ve Ticaret Müdürlüğü,Adana,Merkez
Adana Kurumlar Vergi Dairesi,Adana,Merkez
Adana Maltepe Vergi Dairesi,Adana,Seyhan
Adana Merkez Vergi Dairesi,Adana,Seyhan
Adana Yüreğir Vergi Dairesi,Adana,Yüreğir
Ankara Büyükşehir Belediyesi Vergi Dairesi,Ankara,Merkez
Ankara Defterdarlığı,Ankara,Merkez
Ankara Gümrük ve Ticaret Müdürlüğü,Ankara,Merkez
Ankara Kurumlar Vergi Dairesi,Ankara,Merkez
Ankara Maltepe Vergi Dairesi,Ankara,Yenimahalle
Ankara Merkez Vergi Dairesi,Ankara,Çankaya
Ankara Sincan Vergi Dairesi,Ankara,Sincan
Ankara Yenimahalle Vergi Dairesi,Ankara,Yenimahalle
İstanbul Büyükşehir Belediyesi Vergi Dairesi,İstanbul,Merkez
İstanbul Arnavutköy Vergi Dairesi,İstanbul,Arnavutköy
İstanbul Ataşehir Vergi Dairesi,İstanbul,Ataşehir
İstanbul Avcılar Vergi Dairesi,İstanbul,Avcılar
İstanbul Bağcılar Vergi Dairesi,İstanbul,Bağcılar
İstanbul Bahçelievler Vergi Dairesi,İstanbul,Bahçelievler
İstanbul Bakırköy Vergi Dairesi,İstanbul,Bakırköy
İstanbul Başakşehir Vergi Dairesi,İstanbul,Başakşehir
İstanbul Bayrampaşa Vergi Dairesi,İstanbul,Bayrampaşa
İstanbul Beşiktaş Vergi Dairesi,İstanbul,Beşiktaş
İstanbul Beykoz Vergi Dairesi,İstanbul,Beykoz
İstanbul Beylikdüzü Vergi Dairesi,İstanbul,Beylikdüzü
İstanbul Beyoğlu Vergi Dairesi,İstanbul,Beyoğlu
İstanbul Büyükçekmece Vergi Dairesi,İstanbul,Büyükçekmece
İstanbul Çatalca Vergi Dairesi,İstanbul,Çatalca
İstanbul Çekmeköy Vergi Dairesi,İstanbul,Çekmeköy
İstanbul Esenler Vergi Dairesi,İstanbul,Esenler
İstanbul Esenyurt Vergi Dairesi,İstanbul,Esenyurt
İstanbul Fatih Vergi Dairesi,İstanbul,Fatih
İstanbul Güngören Vergi Dairesi,İstanbul,Güngören
İstanbul Kadıköy Vergi Dairesi,İstanbul,Kadıköy
İstanbul Kağıthane Vergi Dairesi,İstanbul,Kağıthane
İstanbul Kartal Vergi Dairesi,İstanbul,Kartal
İstanbul Kurumlar Vergi Dairesi,İstanbul,Merkez
İstanbul Küçükçekmece Vergi Dairesi,İstanbul,Küçükçekmece
İstanbul Maltepe Vergi Dairesi,İstanbul,Maltepe
İstanbul Merkez Vergi Dairesi,İstanbul,Fatih
İstanbul Pendik Vergi Dairesi,İstanbul,Pendik
İstanbul Sancaktepe Vergi Dairesi,İstanbul,Sancaktepe
İstanbul Sarıyer Vergi Dairesi,İstanbul,Sarıyer
İstanbul Silivri Vergi Dairesi,İstanbul,Silivri
İstanbul Sultanbeyli Vergi Dairesi,İstanbul,Sultanbeyli
İstanbul Sultangazi Vergi Dairesi,İstanbul,Sultangazi
İstanbul Şile Vergi Dairesi,İstanbul,Şile
İstanbul Şişli Vergi Dairesi,İstanbul,Şişli
İstanbul Tuzla Vergi Dairesi,İstanbul,Tuzla
İstanbul Ümraniye Vergi Dairesi,İstanbul,Ümraniye
İstanbul Üsküdar Vergi Dairesi,İstanbul,Üsküdar
İstanbul Zeytinburnu Vergi Dairesi,İstanbul,Zeytinburnu
İzmir Büyükşehir Belediyesi Vergi Dairesi,İzmir,Merkez
İzmir Bornova Vergi Dairesi,İzmir,Bornova
İzmir Defterdarlığı,İzmir,Merkez
İzmir Gümrük ve Ticaret Müdürlüğü,İzmir,Merkez
İzmir Karşıyaka Vergi Dairesi,İzmir,Karşıyaka
İzmir Konak Vergi Dairesi,İzmir,Konak
İzmir Kurumlar Vergi Dairesi,İzmir,Merkez
İzmir Merkez Vergi Dairesi,İzmir,Konak